# data taken from Dans Diffraction at github
# X-ray Form factor: ITC, p578
#Z  Element Name          a1         b1         a2         b2         a3         b3         a4         b4         c          
  1 H       Hydrogen        0.489918  20.659300   0.262003   7.740390   0.196767  49.551900   0.049879   2.201590   0.001305 
  2 He      Helium          0.873400   9.103700   0.630900   3.356800   0.311200  22.927600   0.178000   0.982100   0.006400 
  3 Li      Lithium         1.128200   3.954600   0.750800   1.052400   0.617500  85.390500   0.465300 168.261000   0.037700 
  4 Be      Beryllium       1.591900  43.642700   1.127800   1.862300   0.539100 103.483000   0.702900   0.542000   0.038500 
  5 B       Boron           2.054500  23.218500   1.332600   1.021000   1.097900  60.349800   0.706800   0.140300  -0.193200 
  6 C       Carbon          2.310000  20.843900   1.020000  10.207500   1.588600   0.568700   0.865000  51.651200   0.215600 
  7 N       Nitrogen       12.212600   0.005700   3.132200   9.893300   2.012500  28.997500   1.166300   0.582600 -11.529000 
  8 O       Oxygen          3.048500  13.277100   2.286800   5.701100   1.546300   0.323900   0.867000  32.908900   0.250800 
  9 F       Fluorine        3.539200  10.282500   2.641200   4.294400   1.517000   0.261500   1.024300  26.147600   0.277600 
 10 Ne      Neon            3.955300   8.404200   3.112500   3.426200   1.454600   0.230600   1.125100  21.718400   0.351500 
 11 Na      Sodium          4.762600   3.285000   3.173600   8.842200   1.267400   0.313600   1.112800 129.424000   0.676000 
 12 Mg      Magnesium       5.420400   2.827500   2.173500  79.261100   1.226900   0.380800   2.307300   7.193700   0.858400 
 13 Al      Aluminium       6.420200   3.038700   1.900200   0.742600   1.593600  31.547200   1.964600  85.088600   1.115100 
 14 Si      Silicon         6.291500   2.438600   3.035300  32.333700   1.989100   0.678500   1.541000  81.693700   1.140700 
 15 P       Phosphorus      6.434500   1.906700   4.179100  27.157000   1.780000   0.526000   1.490800  68.164500   1.114900 
 16 S       Sulfur          6.905300   1.467900   5.203400  22.215100   1.437900   0.253600   1.586300  56.172000   0.866900 
 17 Cl      Chlorine       11.460400   0.010400   7.196400   1.166200   6.255600  18.519400   1.645500  47.778400  -9.557400 
 18 Ar      Argon           7.484500   0.907200   6.772300  14.840700   0.653900  43.898300   1.644200  33.392900   1.444500 
 19 K       Potassium       8.218600  12.794900   7.439800   0.774800   1.051900 213.187000   0.865900  41.684100   1.422800 
 20 Ca      Calcium         8.626600  10.442100   7.387300   0.659900   1.589900  85.748400   1.021100 178.437000   1.375100 
 21 Sc      Scandium        9.189000   9.021300   7.367900   0.572900   1.640900 136.108000   1.468000  51.353100   1.332900 
 22 Ti      Titanium        9.759500   7.850800   7.355800   0.500000   1.699100  35.633800   1.902100 116.105000   1.280700 
 23 V       Vanadium       10.297100   6.865700   7.351100   0.438500   2.070300  26.893800   2.057100 102.478000   1.219900 
 24 Cr      Chromium       10.640600   6.103800   7.353700   0.392000   3.324000  20.262600   1.492200  98.739900   1.183200 
 25 Mn      Manganese      11.281900   5.340900   7.357300   0.343200   3.019300  17.867400   2.244100  83.754300   1.089600 
 26 Fe      Iron           11.769500   4.761100   7.357300   0.307200   3.522200  15.353500   2.304500  76.880500   1.036900 
 27 Co      Cobalt         12.284100   4.279100   7.340900   0.278400   4.003400  13.535900   2.348800  71.169200   1.011800 
 28 Ni      Nickel         12.837600   3.878500   7.292000   0.256500   4.443800  12.176300   2.380000  66.342100   1.034100 
